pc_learn;learning_outcome;cat_1;cat_2
2;Elterngespräche gehen auch per Telefon;Nichts;
3;dass es Schüler gibt,  denen ich nicht helfen kann und dass für diese Schule unwichtig ist,  weil die so viele andere Probleme haben;Situationsdiagnostik;
6;Elternprotest beim RP gegen Streichung /Kürzung der Unterrichtsversorgung sehr wirksam;Nichts;
3;Elternwille steht über Sinn! Eine Schülerin mit psychischen Problemen ist auffällig,aber selbt der KlassenlehrerIn wusste nicht Bescheid und durfte Kollegen nicht darauf aufmerksam machen.;Nichts;
0;E-Mail-Check geht nicht in 10 Min.;Nichts;
0;Emails beantworten;Nichts;
0;E-Mails beantworten, hochladen von Arbeitsblättern in OneNote;Nichts;
7;E-Mail beantwortet, Anfragen bearbeitet;Nichts;
0;Emails lesen,Planung Teamsitzung morgen,Tasche packen,Todoliste morgen;Nichts;
2;E-Mail und Anfragen beantwortet;Nichts;
2;Email von Schüler:innen kontrolliert und bearbeitet;Nichts;
4;E-Mail zur Terminabstimmung und weiteren Planung eines Projekts;Nichts;
1;E-Mails beantwortet und sich daraus ergebende laufende Aufgaben erledigt.;Nichts;
2;E-Mails verfassen, auf den Körper hören;Fähigkeit zur Selbstreflexion;
1;E-Mailverkehr, Briefing der Kollegen für kommende Wochen;Nichts;
1;E-Mail-Verkehr, Kontakt zu Schülern und Eltern, Rücksprache mit KollegInnen wegen praktischer Prüfungen;Nichts;
1;E-Mail-Verkehr: anfragen von Eltern, Schülern und externen Partnern;Nichts;
3;Emotionsgeladene Personalversammlung;Nichts;
3;dass es sehr schwierig ist ein Dokument nach allen Regeln zu erstellen;Situationsdiagnostik;
1;Empfänger der Korrekturen;Nichts;
4;Endlich mal Zeit sich mit den Schülern auszutauschen;Nichts;
1;engl. Fachvokabular;Nichts;
1;Englischthema Ökologische Landwirtschaft;Nichts;
0;Entschuldigungen und Beurlaubung organisiert;Nichts;
1;enthusiastisch vortragen weckt Interesse der SuS;Situationsdiagnostik;
1;entrümpeln lohnt sich.;Bewusstsein der Bedeutung von gewissenhaftem, sorgfältigen Arbeiten;
1;Entscheidung Schüleraustausch für kommendes Schuljahr mit Unsicherheiten;Nichts;
0;Entspannung zwischendurch und der kleine Spaziergang zur Praxis tun sehr gut;Pausenbewusstsein und Ressourcenschonung ;
4;Entschuldigungen bearbeiten/ elektronisches Tagebuch pflegen;Nichts;
2;Entschuldigungsregeln sind wohl noch immer unklar, müssen erneut thematisiert werden.;Situationsdiagnostik;
3;Entspannt bleiben;Gelassenheit;
6;Entspannung und Abschalten ist wichtig, um Kraft zu tanken;Bewusstsein der Bedeutung von Gelassenheit;
5;Entwicklung der Abläufe/Schulentwicklung;Nichts;
2;Erarbeiten eines neuen Themas;Nichts;
2;Erarbeitung eines neuen Themas;Nichts;
2;Erarbeitung neues Unterrichtsthema;Nichts;
2;Erasmus Projekt planen;Nichts;
0;Erfahrung trägt!;Nichts;
5;Erasmus+ Projekt Teamsitzung,neuer Stand;Nichts;
4;Erasmus+-Antrag bearbeitet;Nichts;
5;"Erfahren gesammelt bei Zusatzfunktion
";Wissenserweiterung;
3;Erfahrung in der Beratung von SuS gesammelt,;Festigung von Kernkompetenzen;
6;Erfahrung, wie man Mathematikaufgaben in einer Abiturprüfung nicht stellt.;Situationsdiagnostik;
1;Erfahrungen aus Beschwerdeschreiben Uhr Mathematik Abiturprüfung;Situationsdiagnostik;
3;Erfahrungen einer Zimmerin mit männlichen Arbeitskollegen;Nichts;
0;Erfassung/Statistik Corona;Nichts;
1;Erfahrungen zum Umgang mit SuS;Situationsdiagnostik;
0;Erhöhtetr Aufwand da Hybridunterricht;Nichts;
0;Erholung;Nichts;
3;Erfahrungsaustausch mit Schülerin über Alltsgsrassismus;Nichts;
3;Erfahrungsaustausch zur Abi-Vorbereitung;Nichts;
7;Erfahrungswissen ist mehr Wert als Schulwissen;Situationsdiagnostik;
3;erfolgreiche Teamarbeit;Positive Einstellung zur Teamarbeit;
1;dass ich sehr viele verschiedene Tätigkeiten am Tag durchführen muss;Situationsdiagnostik;
3;Erkenntnis, wie viele Infos über unsere Schule sich im Qualtätshandbuch finden, neue Erkenntnisse;Wissenserweiterung;
1;Erkenntnisse aus Schülerhandouts.;Wissenserweiterung;
5;Erkenntnisse zur Neuordnung;Wissenserweiterung;
1;Erklärvideos Philosophie sinnvoll;Situationsdiagnostik;
0;Erneutes Telefonat mit Kollegin bezüglich einer Schülerin;Nichts;
0;Erreichbarkeit der Schüler sehr schwierig;Nichts;
2;Erlebnispädagogik;Nichts;
0;Erstaunlich was man so in den Stapeln auf seinem Schreibtisch so findet.;Nichts;
0;Erste Hilfe in Krisensituationen bei psychologischen Problemen.;Nichts;
0;Erste Stunde nach der Prüfung.;Nichts;
2;erneut das Bewusstsein,  dass es schwierig ist,  die SuS bestens auf die Prüfung vorzubereiten;Situationsdiagnostik;
0;Erstellen der hausinternen Prüfung erfordert höchste Konzentration;Bewusstsein der Bedeutung von Konzentration;
1;Erst ab 15 Uhr weniger Störungen;Nichts;
6;Erste Abikorrektur;Nichts;
5;Erste Erfahrungen in meiner Zusatzfunktion als Berufs- und Studienberater. Anwendung der Ausbildung, Anpassung des Gelernten an die eigene Testgruppe;Wissenserweiterung;
4;Erste-Hilfe-Kurs;Nichts;
2;Erstellen einer KA, um Freistunde sinnvoll zu nutzen;Nichts;
4;erstellen eines feedback fragebogens;Nichts;
3;Erstellen von Prüfungsaufgaben für das Kultusministerium;Nichts;
2;Erstellung der Hausarbeit für die Ausbildung zur Beratungslehrkraft ist anstrengend, da die Struktur bzw der arbeitsauftrag unklar ist;Situationsdiagnostik;
4;Erstellung einer Prüfungsaufgabe war eine Herausforderung;Situationsdiagnostik;
2;Erstellung immersives Lernangebot.;Nichts;
2;Erstellung Klassenarbeit, Korrektur von Heften;Nichts;
2;Erstellung niveaudifferenzierte Aufgaben;Nichts;
7;Erstellung Online-Anmeldeformulare für Schule;Nichts;
7;Erstellung v Online-Anmeldeformularen für die Schule;Nichts;
1;Erstellung von Aufgaben im neuen Format über Lernplattform Moodle. Selbstaneignung der Vorgehensweise durch Tutorials;Wissenserweiterung;
3;Erstellung von Lernsituationen;Nichts;
7;Erstellung von Online-Anmeldeformularen;Nichts;
5;Erstellung von Online-Anmeldeformularen, Webtechnologien etc.;Nichts;
1;Erstellung von Prüfungsaufgaben;Nichts;
5;Erster Projekttag und außerunterrichtliche Veranstaltung;Nichts;
1;Erwartungen, Lehrgeschwindigkeit zurücknehmen, geduldig unterrichten;Gelassenheit;
3;dass manches auf den ersten Blick einfacher aussieht, als es ist;Situationsdiagnostik;
7;Erstmalige Durchführung einer Kommunikationsprüfung in neuem Format für diese Schulart.;Nichts;
6;Erwachsenenlernen;Sonstiges;
2;Erwartung Vorgesetzte;Nichts;
6;Erweitern des Erfahrungsschatzes;Wissenserweiterung;
3;Erweiterte Vorstellung des Bedeutungshorizonts von Operatoren des neuen Bildungsplans im BG;Wissenserweiterung;
5;Erweiterung des Fachwissen zum Thema Schulversuche im Bereich Viren;Wissenserweiterung;
7;"Erweiterung digitale Kompetenz
";Festigung von Kernkompetenzen;
0;Erziehungsprobleme bei unseren SchülerInnen;Nichts;
2;"Erweiterung Fachwissen Anwendung von Arbeitsmethoden der Bioinformatik
";Wissenserweiterung;
0;Es bringt die Routine auseinander, Fremde einzugliedern.;Situationsdiagnostik;
5;"Erweiterung Fachwissen Chromatographie
";Wissenserweiterung;
2;Erweiterung Fachwissen Molekulare Genetik;Wissenserweiterung;
7;Erweiterung Fachwissen zum Thema Antibiotika;Wissenserweiterung;
4;Es braucht einfach dem persönlichen und direkten Austauschmit Kollegen.;Positive Einstellung zur Teamarbeit;
0;dass mein Beruf viel kleine Aufgaben mit sich bringt - Beim Ausfüllen der Zeitermittlung klar geworden;Situationsdiagnostik;
3;Es gab Probleme mit der Technik, geplantes Video lief nicht einwandfrei.;Nichts;
1;Dass Methoden immer an die SuS angepasst sein müssen und sie manchmal super funktionieren und manchmal weniger;Situationsdiagnostik;
3;"Es geht schon wieder um den Mobbingfall. Schüler taucht im Unterricht auf, obwohl er die Ausbildung im Betrieb machen sollte. 
Lernerfahrung: besser immer (auch bei Gesprächen mit der SL) eine Aktennotiz schreiben";Gewissenhaftes, sorgfältiges Arbeiten;
0;Es gibt immer mal wieder Überraschungen;Nichts;
5;es gibt Cola-light, perpsi- light und dumme Leut;Nichts;
3;Es gibt eine didaktische Methode für die Erschließung von Texten, die der Lehrer bei der Unterrichtsvorbereitung anwenden kann.;Lernen neuer Arbeitsmethoden;
0;Es gibt immer noch Bewerber auf freie Schulplätze;Nichts;
3;Es gibt eine neue Ausbildungsordnung für ZFA-Azubis.;Wissenserweiterung;
1;Es gibt immer Schüler*innen, die sich nicht an offizielle Vorgaben halten und man dadurch selbst mehr Arbeitsaufwand hat bis man alle Unterlagen beisammen hat und diese auch sortiert bekommt.;Situationsdiagnostik;
0;Es gibt keine Grenzen der Höflichkeit mehr.;Nichts;
1;Es gibt immer eine. Lösung;Situationsdiagnostik;
2;Es gibt immer mal wieder Überraschungen;Situationsdiagnostik;
1;"Es gibt immer noch ""Wanderpokale"", die man nicht braucht, nicht wirklich weiß wie sie einzusetzen sind und trotzdem nehmen muss.";Nichts;
1;Es gibt immer noch Möglichkeiten.;Situationsdiagnostik;
1;Es gibt keine Prüfung in der es keine Änderungen gibt. Das war in früheren Jahren nicht so extrem.;Situationsdiagnostik;
1;es gibt Kollegen und Kolleginnen, die nur das Nötigste arbeiten;Situationsdiagnostik;
0;Es gibt schlechte Praktikanten.;Situationsdiagnostik;
1;Es gibt Kollegen, die schlecht korrigieren;Situationsdiagnostik;
0;Dass Schüler*innen sehr dankbar sind und respektvoll, wenn man Sie und Ihre Probleme/Wünsche/Anliegen ernst nimmt.;Situationsdiagnostik;
0;Es gibt viele daf Bücher im Schrank der Kollegin;Nichts;
2;Es gibt nichts was es nicht gibt;Situationsdiagnostik;
0;Es gibt von einem Buch im Gk-Unterricht eine neue Auflage.;Wissenserweiterung;
0;Es gibt wachsendes Konfliktpotenzial Ukraineflüchtlinge, eventuell bekommen wir welche;Situationsdiagnostik;
7;Es gibt offenbar mehr SchülerInnen als vermutet, die Drogen konsumieren;Situationsdiagnostik;
7;Es gibt schon doofe Kollegen.;Situationsdiagnostik;
0;es ist ein großer Fehler, in diesem Beruf krank zu werden. alles muss aufgeholt werden, Hilfe gibt es keine. drum gehen so viele Lehrer krank zur Arbeit, obwohl sie sich damit selbst kaputt machen. ich bereue, krank gewesen zu sein.;Jobunzufriedenheit/Frustration ;
4;dass SchülerInnen sehr unterschiedlich interessiert sind, was aktuelle Themen betrifft;Situationsdiagnostik;
4;dass SchülerInnen Stärken haben, die man im Schulalltag oft bicht erkennen kann;Situationsdiagnostik;
2;Datenauswertung über Programm, Einarbeitung in IT-Programme und gute Anwendungskenntnusse können sehr entlasten.;Situationsdiagnostik;
5;Es gibt vollschulische Ausbildungsberufe (Kosmetikerin), die zum 1. April beginnen;Wissenserweiterung;
0;Es ist schwierig ein geeignetes Arbeitsnotebook zu finden, ich habe zahlreiche KollegInnen interviewt und Feedbacks eingeholt, da neuer Laptop zwingend nötig wird.;Nichts;
7;Es ging um die Beratung zur Anschaffung für unsere Schule, deshalb war die Lernerfahrung groß;Wissenserweiterung;
1;"Es ging um die Korrektur eines Übungsaufsatzes für ein Abiturient. 
Hierbei sind mir im Aufbau Fehler des Schülers aufgefallen, die ich für den nächsten Jahrgang notiert habe.";Gewissenhaftes, sorgfältiges Arbeiten;
2;Defizite der Schüler erkennen;Situationsdiagnostik;
2;Es ist nicht mehr mein Job. Die SuS können mit Bio Oberstufe kaum etwas anfangen.;Situationsdiagnostik;
0;Es kommt immer noch etwas on top;Nichts;
2;Es ist sehr stressig parallel Unterricht zu halten und im Prüfungsausschuss mitzuwirken;Situationsdiagnostik;
7;es ist wichtig in Zusammenhängen zu denken und handeln;Situationsdiagnostik;
0;Es sind immer wieder dieselben Schüler kurzfristig krank.;Nichts;
0;es war die Gesamtlehrerkonferenz;Nichts;
0;Es war erwarten.;Nichts;
4;Es ist wichtig, SuS immer wieder nach ihrem Befinden zu fragen;Situationsdiagnostik;
0;Es werden neue Abläufe in der neuen Schulküche nötig werden;Nichts;
0;Es wird immer reglementiert in der GLK;Nichts;
1;"Es ist zu heiß.
";Nichts;
3;Es macht kaum noch Sinn, den Schülern Prüfungsleistungen in Form von Hausarbeiten zu geben. Es wird unglaublich viel einfach aus dem Internet kopiert.;Situationsdiagnostik;
1;Es rächt sich, Bewertung nicht zeitnah gemacht zu haben;Bewusstsein der Bedeutung von gewissenhaftem, sorgfältigen Arbeiten;
0;Essensausgabe an Schule langsam;Nichts;
2;es wurde mir mal wieder klar, dass es gut ist, gut strukturiert zu sein;Bewusstsein der Bedeutung von gewissenhaftem, sorgfältigen Arbeiten;
0;Ethik in Klasse 13 ist immer angenehm;Nichts;
2;Es zahlt sich aus, über jedes Gespräch mit Einrichtungen und Eltern ein schriftliches (Mini)-Protokoll zu führen!;Bewusstsein der Bedeutung von gewissenhaftem, sorgfältigen Arbeiten;
3;Essen mit schulleitungskollegin;Nichts;
1;EU Formalitäten sind maximal bürokratisch und maximal schlecht vorbereitet;Jobunzufriedenheit/Frustration ;
2;E-TAgebuch;Nichts;
2;Etwas nachgelesen;Nichts;
0;Evaluationen und neue Verordnungen etc vom Ministerium kommen immer dann,wenn es gerade sehr ungünstig ist;Nichts;
1;Etwas vorbereitet, dass ich nochmal benutzen kann;Nichts;
3;Europäisches Projekt organisieren;Nichts;
0;Excel ist abgestürzt und der Taskmanager konnte es auch nicht schließen;Nichts;
2;Evaluation, was aus verschiedenen Lernenden der letzten beiden Abschlussjahrgänge geworden ist, Emails, Anrufe;Nichts;
2;Evtl Änderungen im Stellen der Prüfungsaufgaben;Nichts;
5;Excel;Wissenserweiterung;
1;Experiment;Nichts;
3;Excel Umgang / Statistik;Wissenserweiterung;
1;Exelnutzung erweitert;Wissenserweiterung;
0;extreme Unterschiede in der Organisationsfähigkeit der SchülerInnen;Situationsdiagnostik;
6;Existenter Antisemitismus beim Besuch des jüdischen Friedhofs entdeckt. Ablehnung jüdischer Einrichtungen bei deutschem und arabischem Jugendlichen. Die Situation stresst mich.;Situationsdiagnostik;
7;Experiment mit Kollege erprobt;Nichts;
5;Experiment zur digitalen Erfassung der Enzymaktivität aufgebaut. Der Versuch wollte nicht funktionieren. Nach einer Fehleranalyse war ich erfolgreich. Ich weiß jetzt wie ich den Versuch in Zukunft vorbereiten und durchführen muss.;Situationsdiagnostik;
4;Facharbeiten sind toll, denn sie trainieren anwendungsbezogenes Schreiben.;Situationsdiagnostik;
2;Fachlicher Austausch mit Kollegen;Nichts;
1;Fachberaterin Englisch wegen Unterrichtsbesuch Referendarin;Nichts;
2;Fachbuch hatte einen Fehler und Lehrer und SuS haben Fehler erst in der Besprechung der Lösung bemerkt;Nichts;
3;Fachdidaktik: didaktische Reduktion;Festigung von Kernkompetenzen;
3;fachdidaktische Sichtweisen auf das Thema;Festigung von Kernkompetenzen;
1;fachfremd Unterricht zu halten;Sonstiges;
6;Fachgespräch als Prüfungsersatz mit anschließender Notenbesprechung.;Nichts;
1;Fachinhalte;Wissenserweiterung;
2;Fachkentnisse erweitert;Wissenserweiterung;
6;Fachlich;Wissenserweiterung;
3;Fachlich digital;Wissenserweiterung;
0;Fachlich, Rechtlich, PV Pflicht;Wissenserweiterung;
3;fachlich herausfordernd;Fähigkeit zur Selbstreflexion;
5;Fachlich inhaltlich;Wissenserweiterung;
3;Fachlich Messlabor;Nichts;
2;Fachliche;Wissenserweiterung;
4;Fachliche Aktualisierungen, Gestaltung (Design);Wissenserweiterung;
1;Fachliche Änderungen / Inhalte;Wissenserweiterung;
4;fachliche Einarbeitung in Thema;Wissenserweiterung;
4;fachliche Erkenntnisse hinzugewonnen;Wissenserweiterung;
4;Fachliche Inhalte;Wissenserweiterung;
0;fachliche Neuigkeiten;Wissenserweiterung;
6;Fachliche Komepetenz wurde erweitert, fachliche Reduktion des Bildungsplans, methodische Kompetenzen, SOl;Festigung von Kernkompetenzen;
5;Fachliche Schwerpunktsetzung und Reduktion;Festigung von Kernkompetenzen;
2;fachliche und soziale Kompetenzen;Festigung von Kernkompetenzen;
3;Fachliche Weiterbildung;Wissenserweiterung;
6;Fachliche Zu Interfaces;Wissenserweiterung;
4;Fachliche, didaktische;Wissenserweiterung;
4;Fachliche: Zusammenschluss von Instituten mit geändertem Aufgabenspektrum, unterrichtsrelevant;Nichts;
2;Fachlichen Kompetenz Gewinn;Festigung von Kernkompetenzen;
1;Arbeit im Team;Nichts;
1;Außerhalb der Unterrichtszeit ist ebenfalls wichtig fürs Team;Positive Einstellung zur Teamarbeit;
3;gemeinsamer Austausch;Nichts;
2;Fachlicher Austausch über Gesetzesänderungen;Wissenserweiterung;
2;Fachlicherorganosatorischer Art;Nichts;
2;Fachliches;Wissenserweiterung;
2;Fachliches Wissen auf den neuesten Stand gebracht;Wissenserweiterung;
5;Fachliteratur, fachl. Erkenntnisse;Wissenserweiterung;
0;Fachwissen;Wissenserweiterung;
6;Fachschaftssitzung und damit verbundener Austausch;Nichts;
2;Fachspezifische Umsetzung eines Bildungsplans;Nichts;
2;Fachunterricht in Migrantenklassen gestalten;Nichts;
5;Fachwissen beim Spritzgießen/Sporttheorie (Krafttraining);Wissenserweiterung;
5;Fachwissen durch eine Fachzeitschrift;Wissenserweiterung;
3;Fachwissen erweitert;Wissenserweiterung;
1;Fachwissen Excel aufgebaut;Wissenserweiterung;
5;Fachwissen im Bereich Transduktion;Wissenserweiterung;
5;Fachwissen über Transduktion erweitert;Wissenserweiterung;
3;Fachwissen zum Deutsch-Abi;Wissenserweiterung;
5;"Fachwissen zum Thema Real Time PCR erweitert 
";Wissenserweiterung;
4;"Fachwissen
";Wissenserweiterung;
5;Fachzeitschriften gelesen;Nichts;
2;Faktenwissen;Wissenserweiterung;
5;Faktoren wirksamen Unterricht;Wissenserweiterung;
0;Fälschung von Attesten, wenn diese digital akzeptiert werden;Nichts;
0;Familie muss zurückstecken;Nichts;
2;Gespräche helfen;Positive Einstellung zur Teamarbeit;
6;Faktoren wirksamen Unterrichts, Beobachtungsfelder bei der Unterrichtsbeobachtung;Wissenserweiterung;
5;"Fallbesorechunhsgruppe
Umgang mit nicht motivierten Schüllern
";Nichts;
4;Fallbesprechungsgruppe Dienstbesprechung;Nichts;
4;feedback;Nichts;
4;Feedback bekommen;Nichts;
2;Feedback eingeholt;Nichts;
4;Feedback geben;Festigung von Kernkompetenzen;
1;Feedback geben via LMS;Nichts;
2;Feedback ist wichtig und tut gut;Positive Einstellung zur Teamarbeit;
2;Feedback von SuS zu meinem Unterricht: Anspruchsvolle Texte und Lehrersprache fordert sie heraus. Vielleicht sollte ich meine Redezeit noch mehr begrenzen.;Fähigkeit zur Selbstreflexion;
2;"Feedback zu Unterricht erhalten; Reflexion des eigenen Unterrichts";Fähigkeit zur Selbstreflexion;
0;Fehlen von Schülern: Telefonate bzw E-Mails;Nichts;
6;Feedback zum begleiteten eigenen Unterricht;Nichts;
3;Feedback zum Unterricht;Nichts;
5;Feedback-Gespräch;Nichts;
1;Fehlende Korrekturzeichen bei einer Erstkorrektur erschweren die Zweitkorrektur erheblich.;Bewusstsein der Bedeutung von gewissenhaftem, sorgfältigen Arbeiten;
2;Fehler bei der Frage- und Impulstechnik;Nichts;
0;Fehlezeitwn, Entschuldigungen;Nichts;
0;Fehlzeiten erfasst;Nichts;
3;Fehlerbehebung bei PC, trotz massivem Druck systematisch analysieren, Notfallplan ist sinnvoll (z. B. ErsatzPc);Bewusstsein der Bedeutung von gewissenhaftem, sorgfältigen Arbeiten;
1;fehlerhafte Prüfung!!! Stress pur, Chaos wegen kranker SuS,...;Emotionale Erschöpfung;
1;Fehlersuche und -finden im digitalen Klassenbuch;Nichts;
2;Fehlzeitenmanagement;Festigung von Kernkompetenzen;
3;Fernunterricht;Nichts;
0;Fertigstellung der Prüfungsaufgabe macht glücklich und erleichtert;Jobzufriedenheit;
0;Firma - Praktikum;Nichts;
0;Den SuS mehr Zeit lassen;Situationsdiagnostik;
0;Flexibilität;Festigung von Kernkompetenzen;
4;Fertigkeiten in der Arbeit mit einem Statistik-Programm;Wissenserweiterung;
3;Fertigstellen der KA;Nichts;
2;"Flexibilät ist notwendig
";Situationsdiagnostik;
3;Flexibilität im Unterricht erweitert;Festigung von Kernkompetenzen;
0;Flüchtlingsklasse,schon wieder neue Schüler ohne Vorankündigung;Nichts;
0;Formalitäten -fehlende digitale Vorlagen;Nichts;
0;Formalitäten sind nervig;Nichts;
2;Flexibilität im Unterricht ist das Wichtigste;Situationsdiagnostik;
2;Flexibilität ist eines der höchsten Güter unseres Berufs;Situationsdiagnostik;
3;Flexibler Einsatz von Lehrkräften und kreative Lösungsansätze zur Versorgung von Klassen im kommenden Schuljahr;Festigung von Kernkompetenzen;
4;Formulare bearbeiten, Ausflug planen,…;Nichts;
1;Formulieren von Briefen zum Versand von Prüfungsarbeiten des Abiturs mit Nachprüfung;Nichts;
2;FormulierungsKI und Umschreibesoftware kennengelernt;Wissenserweiterung;
0;Fortbildung Navision;Nichts;
2;Den SuS weniger Auswahl bieten;Situationsdiagnostik;
2;Fortbildung hat leider wenig gebracht.  keine bzw.  geringe Einsatzmöglichkeiten;Situationsdiagnostik;
0;Fortbildung zu hohes Tempo, da digital;Nichts;
4;Fortbildung in Unternehmenssoftware;Wissenserweiterung;
1;Fortbildung Navision Prüfung BFW;Wissenserweiterung;
0;Die kommende Unterrichtseinheit muss anders aufgebaut werden.;Situationsdiagnostik;
7;Fortbildung zu neuen Pflichtlektüren;Wissenserweiterung;
5;Fortbildung zur Unterrichtsqualität und Bewertung von Referendaren;Wissenserweiterung;
1;Fortbildungen;Wissenserweiterung;
0;Fragen beim RP werden unzureichend beantwortet, wenn es um Beschulungsfragen und Personalbeschaffung für VABO geht;Nichts;
5;Fortsetzung neue Aufgaben;Nichts;
5;Fortsetzung Unterrichtsthematik Rehabilitation;Nichts;
0;Fragen zu Stdplan und Deputatsänderung geklärt, damit ich diese morgen umsetzen kann;Nichts;
6;Fragestellung optimieren;Situationsdiagnostik;
2;Fortsetzung, Auseinandersetzung mit Mitarbeitergesprächen;Nichts;
1;Fragen für ein  Gespräch kennengelernt;Nichts;
0;Frauen reden immer zu viel und zu wenig zielbezogen;Nichts;
5;Fragen für mündliches Abitur;Nichts;
4;Fragestellung überarbeiten;Situationsdiagnostik;
0;Freitags ist die Motivation der Schüler bis zum Ende durchzuhalten sehr gering;Situationsdiagnostik;
4;Frau X bei Videokonferenz kennengelernt;Nichts;
3;Freiheit geben überfodert manche kollegen;Situationsdiagnostik;
0;Fremde Klasse;Nichts;
2;Freitag, zu viele offene Fragen;Nichts;
2;Freiwilliger Zusatz-Job nimmt mir die Zeit für Korrekturen...;Nichts;
1;Fremdbewertung Abi mit eigener Zweitkorrektur vergleichen;Nichts;
7;Freude am Diskutieren mit Schülern;Jobzufriedenheit;
3;Freude am Unterrichten;Jobzufriedenheit;
4;Freundlichkeit bringt Erfolg;Situationsdiagnostik;
0;Frühere Organisation im nächsten Jahr.;Gewissenhaftes, sorgfältiges Arbeiten;
0;frühzeitig Anfangen, immer mit Plan b;Gewissenhaftes, sorgfältiges Arbeiten;
2;Die kurze Halbwertszeit des Wissens im Fach Abrechnung und Formulare in der Arztpraxis macht ständiges Nachlesen notwendig. manchmal ist das Wissen so komplex, dass die didaktische Reduktion zu viel Zeit in Anspruch nimmt.;Situationsdiagnostik;
0;frühzeitige Absprachen zum Raum richten für nachfolgende Veranstaltung ist wünschenswert;Bewusstsein der Bedeutung von gewissenhaftem, sorgfältigen Arbeiten;
1;Die Stunde muss an einer Stelle anders konzipiert werden;Situationsdiagnostik;
2;früher mit betrieben kommunizieren;Bewusstsein der Bedeutung von gewissenhaftem, sorgfältigen Arbeiten;
1;Frühzeitige Absprachen für anstehende Prüfungen sind wichtig: wer kümmert sich um was!?;Positive Einstellung zur Teamarbeit;
7;frühzeitige Planung hilft;Bewusstsein der Bedeutung von gewissenhaftem, sorgfältigen Arbeiten;
1;frühzeitiger Kontakt wegen Unterrichtsänderung über Messenger sehr wichtig;Positive Einstellung zur Teamarbeit;
0;Führen von MA Gesprächen;Nichts;
1;Frühzeitiges Melden von Missständen;Gewissenhaftes, sorgfältiges Arbeiten;
4;Führen eines schwierigen Gesprächs;Festigung von Kernkompetenzen;
4;Führen von Konfliktgesprächen;Festigung von Kernkompetenzen;
2;Führen von MAGd;Nichts;
4;führen von MAGs;Nichts;
7;Führung;Sonstiges;
1;Führung ist eine wichtige Qualifikation;Situationsdiagnostik;
1;Führung von externen Eltern und Schülern durch das Schulgebäude und Vorstellung der Schularten;Nichts;
2;Für mich Neues Thema vertieft;Wissenserweiterung;
2;Führungsetagen;Nichts;
6;Funktionierendes Team entlastet;Positive Einstellung zur Teamarbeit;
0;gar keine. sehr nervige Tätigkeit;Jobunzufriedenheit/Frustration ;
5;Für mich neues Thema unterrichtet;Nichts;
2;ganzer Tag mündl Abiturprüfungen;Nichts;
1;Ganztagsprogramm im AVdual ist nicht mit festen Stunden der Schulsozialarbeiterin möglich, da Rollenkonflikt;Nichts;
0;Gegen Sturheit ist nur schwer anzukommen;Nichts;
1;Geduld;Gelassenheit;
1;Geduld zahlt sich aus;Gelassenheit;
3;Gefährdungsbeurteilung;Nichts;
1;Gelassenheit;Gelassenheit;
5;Gelassenheit bei unplanbaren Situationen;Gelassenheit;
2;"Gelassenheit, Auch mal Nein sagen
";Gelassenheit;
4;Gelassenheit, Gedankenhygiene;Gelassenheit;
1;"Gelingensbedingungen im Unterricht: Beziehungsebene, Routine, gute Vorbereitung
Dann entsteht kein Stress.";Situationsdiagnostik;Bewusstsein der Bedeutung von gewissenhaftem, sorgfältigen Arbeiten
2;gelungene Kooperation;Positive Einstellung zur Teamarbeit;
0;Kommunikationnhilft;Positive Einstellung zur Teamarbeit;
7;Gemeinsam kann etwas besser gehen;Positive Einstellung zur Teamarbeit;
0;Kooperationen und Gespräche sind wichtig;Positive Einstellung zur Teamarbeit;
1;Gemeinsam mit der Schülerin habe neue Modelle im (viel zu kleinen) Vorbereitungsraum gefunden.;Wissenserweiterung;
2;Detaillierte Absprachen mit Kollegen erleichtern Planungen;Positive Einstellung zur Teamarbeit;
1;Arbeitserleichterung durch digitale Unterstützung, Teamarbeit;Gegenseitige Unterstützung;
0;gemeinsame Projektnoten mit Kollegen berechnen, besprechen, eintragen ...;Nichts;
1;hohe Einsatzbereitschaft im Kollegium;Situationsdiagnostik;
1;gemeinsam Korrigieren kostet zwar Zeit, hilft aber bei Unklarheiten ungemein;Gemeinsame Planung und Problemlösung;
1;Beim Gespräch mit einem Kollegen bezüglich der Maßnahmen , die wir treffen, wegen respektlosen Moodle Nachrichten könnte ich mehr über seine Situation erfahren.;Situationsdiagnostik;
2;Gemeinsame Planung von Konferenzen;Gemeinsame Planung und Problemlösung;
0;Bestimmte Kollegen sind nicht sehr verantwortungsvoll und fair;Situationsdiagnostik;
6;genaue und stetige Planung;Gewissenhaftes, sorgfältiges Arbeiten;
0;Die SuS brauchen mehr Zeit;Situationsdiagnostik;
1;genauer festlegen, welche Themen in KA abgefragt werden in 2BFS;Gewissenhaftes, sorgfältiges Arbeiten;
1;Die Vorbereitungszeit zieht sich - die Zeit wird knapp und das stresst;Situationsdiagnostik;
2;Diese Klasse hat eventuell augrund der coronabedingt fehlenden Grundlagen schlechtere Ergebniss als die Klassen aus den Vorjahren;Situationsdiagnostik;
3;Geogebra genutzt.;Nichts;
5;geogebra macht auch noch Probleme;Situationsdiagnostik;
2;Gesamtlehrerkonferenz;Nichts;
